National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
1000KL,Kellistown,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Typical Luvisols,Luvisol,255,153,204,"['RPM42BR01_P1100364.JPG', 'RPM42BR01_P1100371.JPG']",LIVE,1000KL,Kellistown,1,1000KL
1000PWL,Patrickswell lithic phase,Fine loamy over limestone bedrock,Fine loamy,over limestone bedrock,bedrock,limestone,Typical Luvisols,Luvisol,255,153,204,"['RPG73BR01_P1100044.JPG', 'RPG73BR01_P1100050.JPG']",LIVE,1000PWL,Patrickswell lithic phase,1,1000PWL
1020CB,Crossabeg,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Gleyic Luvisols,Luvisol,255,153,204,[],LIVE,1020CB,Crossabeg,1,1020CB
1020JH,Johnstown,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Gleyic Luvisols,Luvisol,255,153,204,[],LIVE,1020JH,Johnstown,1,1020JH
1026AD,Ardeen,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Humic-gleyic Luvisols,Luvisol,255,153,204,"['RPW27BR03_P1090690.JPG', 'RPW27BR03_P1090696.JPG']",LIVE,1026AD,Ardeen,1,1026AD
1030CO,Crosstown,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Stagnic Luvisols,Luvisol,255,153,204,"['RPT01BR01_P1030330.JPG', 'RPT01BR01_P1030332.JPG']",LIVE,1030CO,Crosstown,1,1030CO
1030GT,Gortavoher,Fine silty drift with siliceous stones,Fine silty,drift with siliceous stones,drift,siliceous stones,Stagnic Luvisols,Luvisol,255,153,204,"['RPR93RC28_P1020140.JPG', 'RPR93RC28_P1020143.JPG']",LIVE,1030GT,Gortavoher,1,1030GT
1030LG,Laughil,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Stagnic Luvisols,Luvisol,255,153,204,"['RPM70BR01_P1100314.JPG', 'RPM70BR01_P1100321.JPG']",LIVE,1030LG,Laughil,1,1030LG
1030MT,Milltown,Coarse loamy over gneiss and schist bedrock,Coarse loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Stagnic Luvisols,Luvisol,255,153,204,"['RPC11BR01_P1090931.JPG', 'RPC11BR01_P1090939.JPG', 'RPC20BR03_P1090993.JPG', 'RPC20BR03_P1090998.JPG']",LIVE,1030MT,Milltown,1,1030MT
1030RA,Rathowen,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Stagnic Luvisols,Luvisol,255,153,204,"['RPO17BR01_P1020908.JPG', 'RPO17BR01_P1020912.JPG']",LIVE,1030RA,Rathowen,1,1030RA
1036BF,Ballyduff,Fine loamy over shale bedrock,Fine loamy,over shale bedrock,bedrock,shale,Humic-stagnic Luvisols ,Luvisol,255,153,204,"['RPR01GJ01_DSCN0872.JPG', 'RPR01GJ01_DSCN0886.JPG', 'RPR01GJ01_DSCN0891.JPG']",LIVE,1036BF,Ballyduff,1,1036BF
1060LD,Lisdillure,Coarse loamy over limestone bedrock,Coarse loamy,over limestone bedrock,bedrock,limestone,Humic Luvisols,Luvisol,255,153,204,"['RPM93BR02_P1100435.JPG', 'RPM93BR02_P1100442.JPG']",LIVE,1060LD,Lisdillure,1,1060LD
1100BG,Ballyglass,Coarse loamy over sandstone bedrock,Coarse loamy,over sandstone bedrock,bedrock,sandstone,Typical Brown Earths,Brown Earth,255,204,0,"['RPW28OS01_P1090710.JPG', 'RPW28OS01_P1090719.JPG', 'RPW47BR01_DSCN1728.JPG', 'RPW67BR01_P1100138.JPG', 'RPW67BR01_P1100144.JPG']",LIVE,1100BG,Ballyglass,1,1100BG
1100BL,Broomhill,Fine loamy over sandstone bedrock,Fine loamy,over sandstone bedrock,bedrock,sandstone,Typical Brown Earths,Brown Earth,255,204,0,"['RPO09BR02_P1020971.JPG', 'RPO09BR02_P1020972.JPG', 'RPS53RC09_P1040670.JPG', 'RPS53RC09_P1040677.JPG']",LIVE,1100BL,Broomhill,1,1100BL
1100BM,Ballymacool,Coarse loamy over gneiss and schist bedrock,Coarse loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Typical Brown Earths,Brown Earth,255,204,0,"['RPC10BR02_P1090963.JPG', 'RPC10BR02_P1090972.JPG', 'RPC11BR02_P1090942.JPG', 'RPC11BR02_P1090950.JPG', 'RPO11BR01_P1020793.JPG', 'RPO11BR01_P1020799.JPG']",LIVE,1100BM,Ballymacool,1,1100BM
1100BO,Borris,Coarse loamy drift with igneous and metamorphic stones,Coarse loamy,drift igneous and metamorphic stones,drift,igneous and metamorphic stones,Typical Brown Earths,Brown Earth,255,204,0,"['RPG62BR01_P1100053.JPG', 'RPG62BR01_P1100060.JPG', 'RPH19BR02_P1100024.JPG', 'RPH19BR02_P1100031.JPG', 'RPO11BR02_P1020816.JPG', 'RPO11BR02_P1020818.JPG']",LIVE,1100BO,Borris,1,1100BO
1100BV,Ballyvorheen,Sandy drift with siliceous stones,Sandy,drift with siliceous stones,drift,siliceous stones,Typical Brown Earths,Brown Earth,255,204,0,[],LIVE,1100BV,Ballyvorheen,1,1100BV
1100BY,Ballylanders,Fine loamy over shale and slate bedrock,Fine loamy,over shale and slate bedrock,bedrock,shale and slate,Typical Brown Earths,Brown Earth,255,204,0,"['RPO10BR02_P1020831.JPG', 'RPO10BR02_P1020837.JPG', 'RPR41BR01_P1030246.JPG', 'RPR41BR01_P1030251.JPG', 'RPS62RC05_P1020831.JPG', 'RPS62RC05_P1020834.JPG']",LIVE,1100BY,Ballylanders,1,1100BY
1100CL,Clonroche,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Typical Brown Earths,Brown Earth,255,204,0,"['RPS53BR01_P1100269.JPG', 'RPS53BR01_P1100280.JPG', 'RPS62RC04_P1020826.JPG', 'RPT08BR02_P1020729.JPG', 'RPT08BR02_P1020734.JPG', 'RPT17BR01_P1020737.JPG', 'RPT17BR01_P1020745.JPG']",LIVE,1100CL,Clonroche,1,1100CL
1100CM,Clashmore,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Typical Brown Earths,Brown Earth,255,204,0,"['RPQ60GJ01_DSCN0710.JPG', 'RPQ60GJ01_DSCN0718.JPG', 'RPR80RC01_P1100284.JPG', 'RPS42RC06_P1020840.JPG', 'RPS52RC07_P1020848.JPG', 'RPS99BR01_P1020714.JPG', 'RPS99BR01_P1020720.JPG', 'RPW27BR01_P1030347.JPG', 'RPW27BR01_P1030352.JPG', 'RPW27BR01_P1030353.JPG', 'RPW48BR01_P1030355.JPG', 'RPW48BR01_P1030361.JPG', 'RPW58BR01_P1030381.JPG', 'RPW58BR01_P1030387.JPG']",LIVE,1100CM,Clashmore,1,1100CM
1100DO,Dovea,Fine silty drift with limestones,Fine silty,drift with limestones,drift,limestones,Typical Brown Earths,Brown Earth,255,204,0,[],LIVE,1100DO,Dovea,1,1100DO
1100KC,Kennycourt,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Typical Brown Earths,Brown Earth,255,204,0,"['RPN89BR01_P1020976.JPG', 'RPN89BR01_P1020980.JPG', 'RPS35BR01_P1100259.JPG', 'RPS35BR01_P1100267.JPG']",LIVE,1100KC,Kennycourt,1,1100KC
1100KE,Kells,Coarse loamy over shale bedrock,Coarse loamy,over shale bedrock,bedrock,shale,Typical Brown Earths,Brown Earth,255,204,0,"['RPS25RC20_P1020939.JPG', 'RPS25RC20_P1020945.JPG', 'RPT06BR01_P1020678.JPG', 'RPT06BR01_P1020682.JPG', 'RPT17BR02_P1020748.JPG']",LIVE,1100KE,Kells,1,1100KE
1100KI,Kill,Fine loamy drift with igneous and metamorphic stones,Fine loamy,drift with igneous and metamorphic stones,drift,igneous and metamorphic stones,Typical Brown Earths,Brown Earth,255,204,0,[],LIVE,1100KI,Kill,1,1100KI
1100KQ,Knocksquire,Coarse loamy over acid igneous bedrock,Coarse loamy,over acid igneous bedrock,bedrock,acid igneous,Typical Brown Earths,Brown Earth,255,204,0,"['RPO12BR02_P1020877.JPG', 'RPO12BR02_P1020878.JPG', 'RPT28BR01_P1020755.JPG', 'RPT28BR01_P1020756.JPG']",LIVE,1100KQ,Knocksquire,1,1100KQ
1100LA,Ladestown,Loamy over calcareous gravels,Loamy,over calcareous gravels,bedrock,calcareous gravels,Typical Brown Earths,Brown Earth,255,204,0,[],LIVE,1100LA,Ladestown,1,1100LA
1100MB,Mullabane,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Typical Brown Earths,Brown Earth,255,204,0,"['RPM47BR01_P1100465.JPG', 'RPM47BR01_P1100475.JPG', 'RPM53BR02_P1100389.JPG', 'RPM53BR02_P1100398.JPG', 'RPM83BR01_P1100453.JPG', 'RPM83BR01_P1100462.JPG']",LIVE,1100MB,Mullabane,1,1100MB
1120BK,Ballylusky,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Gleyic Brown Earths,Brown Earth,255,204,0,"['RPS14RC25_P1020976.JPG', 'RPS14RC25_P1020979.JPG', 'RPS24RC23_P1020956.JPG']",LIVE,1120BK,Ballylusky,1,1120BK
1120EK,Eskaheen,Loamy drift with igneous and metamorphic stones,Loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Gleyic Brown Earths,Brown Earth,255,204,0,"['RPC42BR02_P1090850.JPG', 'RPC42BR02_P1090858.JPG']",LIVE,1120EK,Eskaheen,1,1120EK
1120KN,Knock,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Gleyic Brown Earths,Brown Earth,255,204,0,[],LIVE,1120KN,Knock,0,1120KN
1120UN16,UNnamed_16,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Gleyic Brown Earths,Brown Earth,255,204,0,[],LIVE,1120UN16,UNnamed_16,0,1120UN16
1126NI,NewInn,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Humic-gleyic Brown Earths,Brown Earth,255,204,0,"['RPS97BR02_P1020701.JPG', 'RPS97BR02_P1020702.JPG', 'RPW48BR03_P1030372.JPG', 'RPW48BR03_P1030380.JPG', 'RPW77BR01_P1100128.JPG', 'RPW77BR01_P1100137.JPG']",LIVE,1126NI,NewInn,1,1126NI
1130CC,Curracitty,Clayey over shale bedrock,Clayey,over shale bedrock,bedrock,shale,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPQ90BR01_P1030093.JPG', 'RPQ90BR01_P1030101.JPG']",LIVE,1130CC,Curracitty,1,1130CC
1130CM,Castlemoyle,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPS04RC26_P1020127.JPG', 'RPS04RC26_P1020129.JPG']",LIVE,1130CM,Castlemoyle,1,1130CM
1130DG,Duarrigle,Fine loamy over shale bedrock,Fine loamy,over shale bedrock,bedrock,shale,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPR30BR03_P1100217.JPG', 'RPR30BR03_P1100225.JPG']",LIVE,1130DG,Duarrigle,1,1130DG
1130GT,Glantane,Coarse loamy over sandstone bedrock,Coarse loamy,over sandstone bedrock,bedrock,sandstone,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPH70GJ01_DSCN0190.JPG', 'RPH70GJ01_DSCN0196.JPG', 'RPN38GJ02_DSCN0350.JPG', 'RPN38GJ02_DSCN0358.JPG', 'RPW28BR01_P1090700.JPG', 'RPW28BR01_P1090707.JPG']",LIVE,1130GT,Glantane,1,1130GT
1130KC,Knockreagh,Fine silty over shale bedrock,Fine silty,over shale bedrock,bedrock,shale,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPQ92BR01_P1030055.JPG', 'RPQ92BR01_P1030062.JPG']",LIVE,1130KC,Knockreagh,1,1130KC
1130LB,Labadoo,Coarse loamy drift with igneous and metamorphic stones,Coarse loamy,drift igneous and metamorphic stones,drift,igneous and metamorphic stones,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPC22BR03_P1090920.JPG', 'RPC22BR03_P1090928.JPG', 'RPH19BR01_P1100014.JPG', 'RPH19BR01_P1100022.JPG']",LIVE,1130LB,Labadoo,1,1130LB
1130MF,Musicfield,fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPH61GJ02_DSCN0254.JPG', 'RPM25BR01_P1100416.JPG', 'RPM25BR01_P1100421.JPG']",LIVE,1130MF,Musicfield,1,1130MF
1130MO,Moord,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPO08BR01_P1020959.JPG', 'RPO08BR01_P1020963.JPG', 'RPO09BR01_P1020948.JPG', 'RPO09BR01_P1020953.JPG', 'RPQ80BR04_P1030161.JPG', 'RPQ80BR04_P1030168.JPG', 'RPW58BR02_P1030390.JPG', 'RPW58BR02_P1030399.JPG']",LIVE,1130MO,Moord,1,1130MO
1130TN,Tooreenbane,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Stagnic Brown Earths,Brown Earth,255,204,0,"['RPW38BR01_P1100171.JPG', 'RPW38BR01_P1100182.JPG', 'RPW58BR03_DSCN1705.JPG', 'RPW98OS02_P1030430.JPG', 'RPW98OS02_P1030434.JPG']",LIVE,1130TN,Tooreenbane,1,1130TN
1136GV,Gneaves,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Humic-stagnic Brown Earths,Brown Earth,255,204,0,['RPR11BR01_P1030082.JPG'],LIVE,1136GV,Gneaves,1,1136GV
1136KF,Killyfinla,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Humic-stagnic Brown Earths,Brown Earth,255,204,0,"['RPN38GJ01_DSCN0313.JPG', 'RPN38GJ01_DSCN0315.JPG', 'RPN59GJ01_P1011085.jpg', 'RPN59GJ01_P1011086.jpg', 'RPN59GJ01_P1011089.jpg']",LIVE,1136KF,Killyfinla,1,1136KF
1150BC,Ballincurra,Fine loamy over limestone bedrock,Fine loamy,over limestone bedrock,bedrock,limestone,Typical Calcareous Brown Earths,Brown Earth,255,204,0,[],LIVE,1150BC,Ballincurra,1,1150BC
1150BG,Baggotstown,Coarse loamy over calcareous gravels,Coarse loamy,over calcareous gravels,bedrock,calcareous gravels,Typical Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM94GJ02_DSCN0534.JPG', 'RPM94GJ02_DSCN0545.JPG']",LIVE,1150BG,Baggotstown,1,1150BG
1150CH,Cullahill,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Typical Calcareous Brown Earths,Brown Earth,255,204,0,[],LIVE,1150CH,Cullahill,0,1150CH
1150CN,Coolnaha,Coarse loamy over limestone bedrock,Coarse loamy,over limestone bedrock,bedrock,limestone,Typical Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM48OS01_P1100100.JPG', 'RPM48OS01_P1100101.JPG', 'RPM94GJ01_DSCN0523.JPG', 'RPM94GJ01_DSCN0529.JPG']",LIVE,1150CN,Coolnaha,1,1150CN
1150FO,Faoldroim,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Typical Calcareous Brown Earths,Brown Earth,255,204,0,['RPO24RC03_P1020823.JPG'],LIVE,1150FO,Faoldroim,0,1150FO
1150KF,Kilfenora,Clayey drift over limestone bedrock,Clayey,drift over limestone bedrock,drift,limestone,Typical Calcareous Brown Earths,Brown Earth,255,204,0,[],LIVE,1150KF,Kilfenora,1,1150KF
1153CK,Carnakelly,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Stagnic Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM52BR01_P1100337.JPG', 'RPM52BR01_P1100342.JPG']",LIVE,1153CK,Carnakelly,1,1153CK
1153FT,Feltrim,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Stagnic Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM93GJ01_DSCN0563.JPG', 'RPM93GJ01_DSCN0576.JPG', 'RPO24BR01_P1020878.JPG', 'RPO24BR01_P1020885.JPG']",LIVE,1153FT,Feltrim,1,1153FT
1156CR,Carroward,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Humic Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM29BR01_P1100064.JPG', 'RPM29BR01_P1100070.JPG']",LIVE,1156CR,Carroward,1,1156CR
1156HA,Hundredacres,Coarse loamy over calcareous gravels ,Coarse loamy,over calcareous gravels,bedrock,calcareous gravels,Humic Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM53BR01_P1100356.JPG', 'RPM53BR01_P1100361.JPG']",LIVE,1156HA,Hundredacres,1,1156HA
1156KK,Knockaun,Fine loamy over calcareous gravels ,Fine loamy,over calcareous gravels ,bedrock,calcareous gravels,Humic Calcareous Brown Earths,Brown Earth,255,204,0,"['RPM70BR02_P1100324.JPG', 'RPM70BR02_P1100329.JPG']",LIVE,1156KK,Knockaun,1,1156KK
1160AL,Aille,Coarse loamy over limestone bedrock,Coarse loamy,over limestone bedrock,bedrock,limestone,Humic Brown Earths,Brown Earth,255,204,0,"['RPM25OS01_P1100113.JPG', 'RPM25OS01_P1100115.JPG']",LIVE,1160AL,Aille,1,1160AL
1160AS,Ashgrove,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Humic Brown Earths,Brown Earth,255,204,0,"['RPH90BR02_P1030006.JPG', 'RPH90BR02_P1030008.JPG']",LIVE,1160AS,Ashgrove,1,1160AS
1160BH,Blackhill,Loamy drift with igneous and metamorphic stones,Loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Humic Brown Earths,Brown Earth,255,204,0,"['RPO02BR01_P1020855.JPG', 'RPO02BR01_P1020864.JPG']",LIVE,1160BH,Blackhill,1,1160BH
1160BN,Brosna,Fine loamy over sandstone bedrock,Fine loamy,over sandstone bedrock,bedrock,sandstone,Humic Brown Earths,Brown Earth,255,204,0,"['RPR11GJ01_DSCN0853.JPG', 'RPR11GJ01_DSCN0860.JPG']",LIVE,1160BN,Brosna,1,1160BN
1160CG,Carrigogunnel,Coarse loamy over lithoskeletal basic igneous rock,Coarse loamy,over lithoskeletal basic igneous rock,bedrock,basic igneous,Humic Brown Earths,Brown Earth,255,204,0,[],LIVE,1160CG,Carrigogunnel,1,1160CG
1160CS,Crossabeagh,coarse loamy over sandstone and shale bedrock,Coarse loamy,over sandstone and shale bedrock,bedrock,sandstone and shale,Humic Brown Earths,Brown Earth,255,204,0,"['RPH90BR01_P1020994.JPG', 'RPH90BR01_P1020999.JPG', 'RPN58GJ01_DSCN0290.JPG', 'RPN58GJ01_DSCN0302.JPG']",LIVE,1160CS,Crossabeagh,1,1160CS
1160DO,Dooaghs,Sandy drift with siliceous stones,Sandy,drift with siliceous stones,drift,siliceous stones,Humic Brown Earths,Brown Earth,255,204,0,"['RPQ71BR01_P1030171.JPG', 'RPQ71BR01_P1030177.JPG', 'RPV69BR01_P1030181.JPG', 'RPV69BR01_P1030188.JPG']",LIVE,1160DO,Dooaghs,1,1160DO
1160NBE17,NBE17,Loamy drift with limestones,Loamy,drift with limestones,drift,limestones,Humic Brown Earths,Brown Earth,255,204,0,[],LIVE,1160NBE17,NBE17,0,1160NBE17
1160RM,Renaghmore,Fine loamy over shale bedrock,Fine loamy,over shale bedrock,bedrock,shale,Humic Brown Earths,Brown Earth,255,204,0,"['RPR21BR01_P1030312.JPG', 'RPR21BR01_P1030313.JPG', 'RPR21BR01_P1030314.JPG', 'RPS35RC01_P1090835.JPG', 'RPS35RC01_P1090839.JPG']",LIVE,1160RM,Renaghmore,1,1160RM
1160SH,Schull,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Humic Brown Earths,Brown Earth,255,204,0,"['RPS97BR01_P1020690.JPG', 'RPS97BR01_P1020692.JPG', 'RPS99BR02_P1020722.JPG', 'RPS99BR02_P1020726.JPG']",LIVE,1160SH,Schull,1,1160SH
1160WO,Wonderhill,Fine loamy over lithoskeletal basic igneous rock,Fine loamy,over lithoskeletal basic igneous rock,bedrock,basic igneous,Humic Brown Earths,Brown Earth,255,204,0,[],LIVE,1160WO,Wonderhill,1,1160WO
1190CMA,Clashmore anthropic,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Anthric Brown Earths,Brown Earth,255,204,0,[],LIVE,1190CMA,Clashmore anthropic,0,1190CMA
1196ASA,Ashgrove anthropic,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Anthric - Humic Brown Earths,Brown Earth,255,204,0,[],LIVE,1196ASA,Ashgrove anthropic,0,1196ASA
